"","","Sallé","","","Loc.2020L","Loc.2020L"
"7/26/2000","","G.E. Morse","","","Loc.1936L","Loc.1936L"
"1-3-1980","","C.D. Johnson","","","Loc.13053L","Loc.13053L"
"8/3/2000","","G.E. Morse","","","Loc.1943L","Loc.1943L"
"7/31/2000","","G.E. Morse","","","Loc.1938L","Loc.1938L"
"4-20-1999","","G.E. Morse","","","2288","2288"
"4-22-1999","","G.E. Morse","","","2301","2301"
"8-4-2010","","G.E. Morse, B. Curran, T.G. Piraneo, T.M. VanGerpen","","","7263548","2324609"
"6/14/2010","","G.E. Morse","","","7263509","2324584"
"7/15/2011","","G.E. Morse","Desert Scrub","","7263842","2324808"
"7/20/2019","","G.E. Morse, M. Krivit, L. Pohs","","","GeMo1972326904E","GeMo1972323328L"
"7/14/2015","","G.E. Morse","rocky slopes and grassland","","7266611","2326267"
"","","Y. de Luca","","","Loc.14068L","Loc.14068L"
"6-7-1957","","G. Wang and C.P. Hong","","","GeMo1973126962E","GeMo1973123384L"
"3/11/2001","","G.E. Morse","","","2501","2501"
"8/6/2000","","G.E. Morse","","","Loc.1950L","Loc.1950L"
"5-28-2014","","USDA Plant Quarantine, S.F. CA","","","GeMo2361432452E","5952"
"4/28/2010","","G.E. Morse","canyon chaparral","","7263478","2324558"
"8-10-2016","","G.E. Morse","Alluvium","","7267435","2326876"
"6-2-1959","","","","","1320","1320"
"4-26-2007","","Jocqué, Loosveldt, Baert & Alderweireldt","gallery forest","","7267046","2326589"
"6-22-1959","","S.Y. Wang","","","GeMo1973126968E","GeMo1973123390L"
"10-13-1994","","Proy. ALAS, INBio-OET","","","GeMo2251231012E","GeMo1921623277L"
"4-1-1993","4-30-1993","Fonseca, G.","","","7261168","2322871"
"5/2/2024","5/13/2024","J. Pirkl, J. Hodeček","","","GeMo25111835884E","GeMo25111828538L"
"12-28-1977","","C.D. Johnson","","","Loc.2873L","Loc.2873L"
"4-20-1999","","G.E. Morse","","","2287","2287"
"10/5/1972","","C.D. Johnson","","","Loc.12161L","Loc.12161L"
"7-25-1934","","F.E. Blaisdell","","","GeMo2312731683E","GeMo2312727007L"
"7/18/2017","","G.E. Morse, M. Tenuta, D. Sheridan, K. Peck","Sandy soil overlooking the Pacific Ocean and an inland pond","","7268320","2327369"
"8-25-2002","","G.E. Morse","","","7260460","2322480"
"3-11-1999","","G.E. Morse","","","2221","2221"
"","","","","","7261518","2323099"
"12/29/1999","","G.E. Morse","","","2328","2328"
"12/28/1979","","C.D. Johnson","","","Loc.15925L","Loc.15925L"
"3/5/1979","","C.D. Johnson","","","Loc.2057L","Loc.2057L"
"8-5-2000","","G.E. Morse","","","7262941","2323890"
"3/12/2001","","G.E. Morse","","","2509","2509"
"8/1/2000","","G.E. Morse","","","Loc.1935L","Loc.1935L"
"7/31/2000","","G.E. Morse","","","Loc.1951L","Loc.1951L"
"","","","","","296","296"
"10/10/1996","","G.E. Morse","","","6021","6021"
"8/1/2010","","G.E. Morse, B. Curran, T.G. Piraneo, T.M. VanGerpen","","","7263529","2324595"
"7/20/2017","","G.E. Morse, M. Tenuta, D. Sheridan, K. Peck","disturbed soil on roadside","","7268339","2327386"
"8-10-2004","","G.E. Morse","","","7261367","2323011"
"7-22-2006","","G.E. Morse","ocean cliffs","","7262989","2323938"
"6-15-2003","","G.E. Morse","","","7261624","2323178"
"6/14/2010","","G.E. Morse, T.G. Piraneo, & T.M. VanGerpen","","","7263514","2324558"
"7/13/2015","","G.E. Morse","shortgrass prairie","","7266599","2326271"
"6/28/2013","","G.E. Morse & E. Lindsay","on sand dune south of sandstone knoll","","7264750","2325350"
"2/28/1998","","G.E. Morse","","","149","149"
"","","Bondar, G.","","","Loc.17251L","Loc.17251L"
"2-14-1999","","G.E. Morse","","","2173","2173"
"5/1/2004","5/31/2004","Not published","","","7263172","2818"
"12-30-1979","","C.D. Johnson","","","Loc.2517L","Loc.2517L"
"8/5/2000","","G.E. Morse","","","Loc.1944L","Loc.1944L"
"9-26-1963","","D.H. Janzen","","","Loc.5569L","Loc.5569L"
"10/1/2007","1/31/2008","E. Reyes, A. Canto, and R. Rodríguez","","","GeMo2012727565E","GeMo2012723799L"
"11/1/1991","11/30/1991","Madenjian, J.J.","","","3432","3432"
"8-3-2010","","G.E. Morse, B. Curran, T.G. Piraneo, T.M. VanGerpen","","","7263545","2323015"
"8-4-2010","","G.E. Morse, B. Curran, T.G. Piraneo, T.M. VanGerpen","","","7263547","2324608"
"6/12/2017","","G.E. Morse, M. Tenuta, D. Sheridan","","","7268296","2327346"
"3-9-1999","","G.E. Morse","","","2210","2210"
"9-16-2001","","G.E. Morse","","","1954","1954"
"","","G. Bondar","","1928","6009","Loc.9053L"
"10-19-2002","","M.A. Ivie","","","5260946","2324091"
"3-28-1992","4-24-1992","Gallardo, G.","","","7261053","2322867"
"5-1-2004","5-31-2004","Not published","","","7263174","2324044"
"1-11-2016","","USDA Plant Quarantine, Atlanta GA","","","GeMo23101034209E","1274"
"","","Champion","","","Loc.17267L","Loc.17267L"
"2-12-2012","","USDA Plant Quarantine, Baltimore MD","","","GeMo2342131987E","GeMo2342127108L"
"12-31-1979","","C.D. Johnson","","","Loc.2913L","Loc.2913L"
"12-20-1978","","C.D. Johnson","","","Loc.4613L","Loc.4613L"
"","","M. Escalera","","","GeMo211728269E","1141"
"6/7/2018","","G.E. Morse","","","GeMo1882926477E","GeMo1882923024L"
"3/16/2012","","S. Gripenberg","","","7266530","2326220"
"10/9/1996","","G.E. Morse","","","6016","6016"
"7-21-2004","","G.E. Morse","sandy bluffs overlooking ocean","","7260419","2322445"
"6/13/2017","","G.E. Morse, M. Tenuta, D. Sheridan","","","7268302","2324609"
"7/20/2017","","G.E. Morse, M. Tenuta, D. Sheridan, K. Peck","Disturbed (tilled) grassland on alluvial soil","","7268346","2327392"
"9/5/2019","","C.S. Eiseman & J.A. Blyth","","","GeMo21121630251E","GeMo21121625899L"
"7/19/2011","","G.E. Morse","white granitic sand in open areas in Pinus ponderosa woodland","","7263866","2324831"
"2/19/1985","","C.D. Johnson","","","Loc.2144L","Loc.2144L"
"3-11-1999","","G.E. Morse","","","2227","2227"
"6-1-2004","6-30-2004","Not published","","","7263175","2324044"
