"Mexico","Sonora","","Navojoa, 13 mi E. ","","","","","","","Loc.2027L"
"Mexico","Sonora","","Alamos, 4 mi W ","","","","","","","Loc.2028L"
"Mexico","Sonora","","Alamos, 10 mi W.","","","","","","","Loc.2029L"
"Mexico","Sonora","","Alamos, 3 mi W ","","","","","","","Loc.2030L"
"Mexico","Sonora","","Alamos, 2 mi W ","","","","","","","Loc.2033L"
"Mexico","Sonora","","Lake Mocuzari (Presa Adolfo Ruiz Cortines), 8 mi S ","152 ","","","","","","Loc.2034L"
"Mexico","Sonora","","Lake Mocuzari (Presa Adolfo Ruiz Cortines)","121 ","","","","","","Loc.2035L"
"Mexico","Sonora","","Alamos, 1 mi W","","","","","","","Loc.2036L"
"Mexico","Sonora","","Navojoa, 14 mi E","","","","","","","Loc.2037L"
"Mexico","Tamaulipas","","Reynosa","","","","","","","Loc.2040L"
"USA","Texas","Cameron","Brownsville","","25.908","-97.483","","","","Loc.2041L"
"USA","Texas","Nueces","Corpus Christi","","","","","","","Loc.2042L"
"USA","Texas","","San Diego","","","","","","","Loc.2043L"
"USA","Texas","","Riviera, 9 mi E., Roadside Park","","","","","","","Loc.2047L"
"USA","Texas","","Baffin Bay, Kleburg Co.","","","","","","","Loc.2048L"
"Turkey","Izmir","","Kusadasi","","","","","","","Loc.2049L"
"Turkey","Izmir","","Kusadasi","","","","","","","Loc.2050L"
"Turkey","Izmir","","Kusadasi","","","","","","","Loc.2051L"
"Mexico","","","Colonia Anahuac","","","","","","","Loc.2052L"
"Mexico","Yucatán","","Merida, 80 km SE","","","","","","","Loc.2053L"
"Mexico","Campeche","","Champotón, 16 km N","","","","","","","Loc.2054L"
"Mexico","Jalisco","","Tuxcueca, 3 mi E","1737 ","","","","","","Loc.2057L"
"Mexico","Puebla","","Xicotepec, 29 mi E.","","","","","","","Loc.2058L"
"Mexico","Sinaloa","","Rio Toxpam","","","","","","","Loc.2060L"
"Mexico","Sinaloa","","Mazatlán, 12 mi N","","","","","","","Loc.2061L"
"Mexico","Tamaulipas","","San Fernando (de Presas)","","","","","","","Loc.2062L"
"Mexico","Veracruz","","Veracruz, 27 mi NW","90 ","","","","","","Loc.2063L"
"Mexico","Veracruz","","Jalapa, 29 mi SE","274 ","","","","","","Loc.2064L"
"Mexico","Veracruz","","Córdoba","","","","","","","Loc.2066L"
"Mexico","Yucatán","","Valladolid, 83 km W","","","","","","","Loc.2067L"
"USA","Texas","Cameron","Brownsville (VI)","","","","","","","Loc.2068L"
"USA","Texas","Uvalde","Uvalde","","","","","","","Loc.2069L"
"Venezuela","Tachira","","Lobatera, 26 km N San Cristobal","1036 ","","","","","","Loc.2070L"
"Brazil","Rio Grande do Norte","","Macaíba","","","","","","","Loc.2074L"
"Brazil","São Paulo","","Colecão Campos Seabra, Barueri","","","","","","","Loc.2075L"
"Colombia","Cundinamarca","","Silvania, 60 km SW Bogota","1600 ","","","","","","Loc.2076L"
"Venezuela","Mérida","","Mérida, 21 km ENE","","","","","","","Loc.2078L"
"Brazil","Pará","","Pará","","","","","","","Loc.2079L"
"Panama","Coclé","","El Valle","","","","","","","Loc.2082L"
"Panama","Panamá","","Cerro Campana","900 ","","","","","","Loc.2083L"
"Panama","Panamá","","Cerro Campana","850 ","","","","","","Loc.2084L"
"Panama","Panamá","","Summit","","","","","","","Loc.2085L"
"Panama","Panamá","","Junction K-9 and K-6 Road","","","","","","","Loc.2086L"
"Panama","Panamá","","Fort Kobbe","","","","","","","Loc.2087L"
"Venezuela","Barinas","","Altamira","","","","","","","Loc.2088L"
"Venezuela","Barinas","","Calderas","1000 ","","","","","","Loc.2089L"
"Venezuela","Barinas","","La Mjagua","","","","","","","Loc.2090L"
"Venezuela","Bolivár","","Hacienda Monte Sacro","","","","","","","Loc.2091L"
"Venezuela","Bolivár","","Jabillal, Rio Caura","140 ","","","","","","Loc.2092L"
"Venezuela","Carabobo","","Aguirre","1200 ","","","","","","Loc.2093L"
"Venezuela","Carabobo","","Canoaba","","","","","","","Loc.2094L"
"Venezuela","Cojedes","","Macapo","","","","","","","Loc.2095L"
"USA","Texas","Willacy","Raymondville, 11 mi. N.","","","","","","","Loc.2096L"
"USA","Texas","Starr","Rio Grande City, 14 mi SE","","","","","","","Loc.2097L"
"USA","Texas","Jim Hogg","Hebronville, 12 mi SW","","","","","","","Loc.2098L"
"USA","Texas","Duval","Freer, 13 mi S","","","","","","","Loc.2099L"
"Mexico","Veracruz","","Veracruz, 16 km S","","","","","","","Loc.2100L"
"USA","Maryland","","Greenbelt","","","","","","","Loc.2102L"
"USA","Maryland","","Laurel","","","","","","","Loc.2103L"
"USA","Maryland","","Paint Branch Park","","","","","","","Loc.2104L"
"USA","Maryland","","Greenbelt","","","","","","","Loc.2105L"
"USA","Texas","","Woodville","","","","","","","Loc.2106L"
"USA","Texas","","Welder Wildlife Refuge, San Patricio","","","","","","","Loc.2107L"
"Colombia","Magdalena","","Santa Marta","","","","","","","Loc.2108L"
"Venezuela","Bolivár","","Kanarakuni, Alto Caura","450 m","","","","","","Loc.2109L"
"Mexico","Michoacán","","Ciudad Hidalgo, 3 mi SE","2042 ","","","","","","Loc.2110L"
"Mexico","Morelos","","Tepoztlán","","","","","","","Loc.2111L"
"Mexico","Morelos","","Tepoztlán, road to pyramid","","","","","","","Loc.2112L"
"Brazil","Minas Gerais","","Viçosa","","-20.76972","-42.87528","","","","Loc.2113L"
"Brazil","Minas Gerais","","Viçosa","","","","","","","Loc.2114L"
"Venezuela","Carabobo","","San Esteban, near Puerto Cabello","","","","","","","Loc.2115L"
"Venezuela","Sucre","","Mirasol near Cumanacoa","","","","","","","Loc.2116L"
"Venezuela","Sucre","","San Rafael, Cumanacoa","","","","","","","Loc.2117L"
"Mexico","Nayarit","","Tepic, 12 mi NW","","","","","","","Loc.2118L"
"Mexico","Chiapas","","Comitán, 1 mi W.","1554 ","","","","","","Loc.2119L"
"Mexico","Jalisco","","Guadalajara, 27 mi E.","","","","","","","Loc.2120L"
"Mexico","Jalisco","","Guadalajara, 40 mi E","","","","","","","Loc.2121L"
"Mexico","Jalisco","","Atenquique, 6 mi N","1220 ","19.583333333","-103.516666667","","","","Loc.2122L"
"Mexico","México","","Real de Arriba, Temescaltepec","1829-2134 ","","","","","","Loc.2123L"
"Mexico","Michoacán","","Morelia, 8 mi E","","","","","","","Loc.2124L"
"Mexico","Morelos","","Cuernavaca","","","","","","","Loc.2125L"
"Mexico","Morelos","","Tepoztlán","","","","","","","Loc.2126L"
"Mexico","Puebla","","Tecamachalco, 7 mi NW","","","","","","","Loc.2128L"
"Mexico","Querétaro","","Querétaro, 18 mi N","","","","","","","Loc.2129L"
"Colombia","Atlántico","","Barranquilla, 65 km SW","","","","","","","Loc.2131L"
"Colombia","Córdoba","","Planeta Rica, 53 km SE","","","","","","","Loc.2132L"
"Costa Rica","Guanacaste","","Palo Verde, OTS, COMELCO, Bagaces, Great swamp","","","","","","","Loc.2133L"
"Guatemala","Retalhuleu","","Champerico","","","","","","","Loc.2134L"
"Haiti","","","Etang Saumatre","","","","","","","Loc.2135L"
"Mexico","Campeche","","Francisco Escárcega, 29 km N","","","","","","","Loc.2136L"
"Panama","Herrera","","Ocú, 7 km S","","","","","","","Loc.2138L"
"Panama","Panamá","","Chepo, 6 km NE","","","","","","","Loc.2141L"
